tweet,processed_text,class
!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,woman shouldnt complain clean house man alway take trash,2
!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,boy dat coldtyga dwn bad cuffin dat hoe place,1
!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit,dawg ever fuck bitch start cry confus shit,1
!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny,look like tranny,1
!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;,shit hear might true might faker bitch told,1
"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;""",shit blow meclaim faithful somebody still fuck hoe,1
"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!""",sit hate another bitch got much shit go,1
!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;,cause tir big bitche com skinny girl,1
""" &amp; you might not get ya bitch back &amp; thats that """,might get bitch back that,1
""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch",hobbie include fight mariam bitch,1
""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",keek bitch curve everyone lol walk conversation like smh,1
""" Murda Gang bitch its Gang Land """,murda gang bitch gang land,1
""" So hoes that smoke are losers ? "" yea ... go on IG",hoe smoke loser yea,1
""" bad bitches is the only thing that i like """,bad bitche th like,1
""" bitch get up off me """,bitch get,1
""" bitch nigga miss me with it """,bitch nigga mis,1
""" bitch plz whatever """,bitch plz whatever,1
""" bitch who do you love """,bitch love,1
""" bitches get cut off everyday B """,bitche get cut everyday,1
""" black bottle &amp; a bad bitch """,black bottle bad bitch,1
""" broke bitch cant tell me nothing """,broke bitch cant tell noth,1
""" cancel that bitch like Nino """,cancel bitch like nino,1
""" cant you see these hoes wont change """,cant see hoe wont change,1
""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up",fuck bitch dont even suck dick kermit video bout fuck,1
""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q",got bitch tip toe hardwood floor,1
""" her pussy lips like Heaven doors "" &#128524;",pussy lip like heaven door,1
""" hoe what its hitting for """,hoe hitt,1
""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;",met pussy ocean gave pussy pill,1
""" i need a trippy bitch who fuck on Hennessy """,ne trippy bitch fuck hennessy,1
""" i spend my money how i want bitch its my business """,spend money want bitch busines,1
""" i txt my old bitch my new bitch pussy wetter """,txt old bitch new bitch pussy wetter,1
""" i'd say im back to the old me but my old bitches would get excited "" &#128524;",say back old old bitche would get excit,1
""" if you aint bout that Murder Game pussy nigga shut up """,aint bout murder game pussy nigga shut,1
""" if you're toes ain't done you pussy stinks """,youre toe aint done pussy stink,1
""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,done bitter bitche wrap angry bird there app,1
""" is that ya bitch """,bitch,1
""" it aint nothing to cut a bitch off """,aint noth cut bitch,1
""" jus meet son now he ya mane ass bitches "" #Shots",jus meet son mane ass bitche shot,1
""" lames crying over hoes thats tears of a clown """,lame cry hoe that tear clown,1
""" like Snoop said in 94 we dont love these hoes """,like snoop said dont love hoe,1
""" momma said no pussy cats inside my doghouse """,momma said pussy cat inside doghouse,2
""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC",hat hoe favorite sevenone,1
""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U",nice girl bad make get naughty bad yello hoe real nice body south chick like real thick,1
""" pimps up pimps up hoes down "" Future voice",pimp pimp hoe future voice,1
""" post a picture of that pussy get 200 likes """,post picture pussy get like,1
""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b",pussy powerful drug happyhumpday,1
""" quick piece of pussy call it a drive by """,quick piece pussy call drive,1
""" running round here like some brand new pussy thats bout to get fucked """,runn round like brand new pussy that bout get fuck,1
""" these bitches even worst they'll send them guys for you """,bitche even worst theyll send guy,1
""" these hoes like niggas that spend money not talk bout it """,hoe like nigga spend money talk bout,1
""" we dont trust these niggas all these bitches """,dont trust nigga bitche,1
""" yall niggas b cuffing hoes cause yall aint never have bitches """,yall nigga cuff hoe cause yall aint never bitche,1
